,Meta,Omega,A_a,subcycles_osc,p/q,Locking
4590,0.0,0.011538798568012725,8.0,2.0,5/1,5.0
4591,0.0,0.011538798568012725,8.222222222222221,2.0,5/1,5.0
4592,0.0,0.011538798568012725,8.444444444444445,2.0,5/1,5.0
4593,0.0,0.011538798568012725,8.666666666666666,2.0,5/1,5.0
4594,0.0,0.011538798568012725,8.88888888888889,2.0,5/1,5.0
4595,0.0,0.011538798568012725,9.11111111111111,2.0,5/1,5.0
4596,0.0,0.011538798568012725,9.333333333333334,2.0,5/1,5.0
4597,0.0,0.011538798568012725,9.555555555555555,2.0,5/1,5.0
4598,0.0,0.011538798568012725,9.777777777777779,2.0,5/1,5.0
4599,0.0,0.011538798568012725,10.0,2.0,5/1,5.0
4600,0.0,0.011561031320552247,8.0,2.0,5/1,5.0
4601,0.0,0.011561031320552247,8.222222222222221,2.0,5/1,5.0
4602,0.0,0.011561031320552247,8.444444444444445,2.0,5/1,5.0
4603,0.0,0.011561031320552247,8.666666666666666,2.0,5/1,5.0
4604,0.0,0.011561031320552247,8.88888888888889,2.0,5/1,5.0
4605,0.0,0.011561031320552247,9.11111111111111,2.0,5/1,5.0
4606,0.0,0.011561031320552247,9.333333333333334,2.0,5/1,5.0
4607,0.0,0.011561031320552247,9.555555555555555,2.0,5/1,5.0
4608,0.0,0.011561031320552247,9.777777777777779,2.0,5/1,5.0
4609,0.0,0.011561031320552247,10.0,2.0,5/1,5.0
4610,0.0,0.011583264073091772,8.0,2.0,5/1,5.0
4611,0.0,0.011583264073091772,8.222222222222221,2.0,5/1,5.0
4612,0.0,0.011583264073091772,8.444444444444445,2.0,5/1,5.0
4613,0.0,0.011583264073091772,8.666666666666666,2.0,5/1,5.0
4614,0.0,0.011583264073091772,8.88888888888889,2.0,5/1,5.0
4615,0.0,0.011583264073091772,9.11111111111111,2.0,5/1,5.0
4616,0.0,0.011583264073091772,9.333333333333334,2.0,5/1,5.0
4617,0.0,0.011583264073091772,9.555555555555555,2.0,5/1,5.0
4618,0.0,0.011583264073091772,9.777777777777779,2.0,5/1,5.0
4619,0.0,0.011583264073091772,10.0,2.0,5/1,5.0
4620,0.0,0.011605496825631296,8.0,2.0,5/1,5.0
4621,0.0,0.011605496825631296,8.222222222222221,2.0,5/1,5.0
4622,0.0,0.011605496825631296,8.444444444444445,2.0,5/1,5.0
4623,0.0,0.011605496825631296,8.666666666666666,2.0,5/1,5.0
4624,0.0,0.011605496825631296,8.88888888888889,2.0,5/1,5.0
4625,0.0,0.011605496825631296,9.11111111111111,2.0,5/1,5.0
4626,0.0,0.011605496825631296,9.333333333333334,2.0,5/1,5.0
4627,0.0,0.011605496825631296,9.555555555555555,2.0,5/1,5.0
4628,0.0,0.011605496825631296,9.777777777777779,2.0,5/1,5.0
4629,0.0,0.011605496825631296,10.0,2.0,5/1,5.0
4630,0.0,0.011627729578170818,8.0,2.0,5/1,5.0
4631,0.0,0.011627729578170818,8.222222222222221,2.0,5/1,5.0
4632,0.0,0.011627729578170818,8.444444444444445,2.0,5/1,5.0
4633,0.0,0.011627729578170818,8.666666666666666,2.0,5/1,5.0
4634,0.0,0.011627729578170818,8.88888888888889,2.0,5/1,5.0
4635,0.0,0.011627729578170818,9.11111111111111,2.0,5/1,5.0
4636,0.0,0.011627729578170818,9.333333333333334,2.0,5/1,5.0
4637,0.0,0.011627729578170818,9.555555555555555,2.0,5/1,5.0
4638,0.0,0.011627729578170818,9.777777777777779,2.0,5/1,5.0
4639,0.0,0.011627729578170818,10.0,2.0,5/1,5.0
4640,0.0,0.011649962330710343,8.0,2.0,5/1,5.0
4641,0.0,0.011649962330710343,8.222222222222221,2.0,5/1,5.0
4642,0.0,0.011649962330710343,8.444444444444445,2.0,5/1,5.0
4643,0.0,0.011649962330710343,8.666666666666666,2.0,5/1,5.0
4644,0.0,0.011649962330710343,8.88888888888889,2.0,5/1,5.0
4645,0.0,0.011649962330710343,9.11111111111111,2.0,5/1,5.0
4646,0.0,0.011649962330710343,9.333333333333334,2.0,5/1,5.0
4647,0.0,0.011649962330710343,9.555555555555555,2.0,5/1,5.0
4648,0.0,0.011649962330710343,9.777777777777779,2.0,5/1,5.0
4649,0.0,0.011649962330710343,10.0,2.0,5/1,5.0
4650,0.0,0.011672195083249865,8.0,2.0,5/1,5.0
4651,0.0,0.011672195083249865,8.222222222222221,2.0,5/1,5.0
4652,0.0,0.011672195083249865,8.444444444444445,2.0,5/1,5.0
4653,0.0,0.011672195083249865,8.666666666666666,2.0,5/1,5.0
4654,0.0,0.011672195083249865,8.88888888888889,2.0,5/1,5.0
4655,0.0,0.011672195083249865,9.11111111111111,2.0,5/1,5.0
4656,0.0,0.011672195083249865,9.333333333333334,2.0,5/1,5.0
4657,0.0,0.011672195083249865,9.555555555555555,2.0,5/1,5.0
4658,0.0,0.011672195083249865,9.777777777777779,2.0,5/1,5.0
4659,0.0,0.011672195083249865,10.0,2.0,5/1,5.0
4660,0.0,0.011694427835789388,8.0,2.0,5/1,5.0
4661,0.0,0.011694427835789388,8.222222222222221,2.0,5/1,5.0
4662,0.0,0.011694427835789388,8.444444444444445,2.0,5/1,5.0
4663,0.0,0.011694427835789388,8.666666666666666,2.0,5/1,5.0
4664,0.0,0.011694427835789388,8.88888888888889,2.0,5/1,5.0
4665,0.0,0.011694427835789388,9.11111111111111,2.0,5/1,5.0
4666,0.0,0.011694427835789388,9.333333333333334,2.0,5/1,5.0
4667,0.0,0.011694427835789388,9.555555555555555,2.0,5/1,5.0
4668,0.0,0.011694427835789388,9.777777777777779,2.0,5/1,5.0
4669,0.0,0.011694427835789388,10.0,2.0,5/1,5.0
4670,0.0,0.011716660588328914,8.0,2.0,5/1,5.0
4671,0.0,0.011716660588328914,8.222222222222221,2.0,5/1,5.0
4672,0.0,0.011716660588328914,8.444444444444445,2.0,5/1,5.0
4673,0.0,0.011716660588328914,8.666666666666666,2.0,5/1,5.0
4674,0.0,0.011716660588328914,8.88888888888889,2.0,5/1,5.0
4675,0.0,0.011716660588328914,9.11111111111111,2.0,5/1,5.0
4676,0.0,0.011716660588328914,9.333333333333334,2.0,5/1,5.0
4677,0.0,0.011716660588328914,9.555555555555555,2.0,5/1,5.0
4678,0.0,0.011716660588328914,9.777777777777779,2.0,5/1,5.0
4679,0.0,0.011716660588328914,10.0,2.0,5/1,5.0
4680,0.0,0.011738893340868436,8.0,2.0,5/1,5.0
4681,0.0,0.011738893340868436,8.222222222222221,2.0,5/1,5.0
4682,0.0,0.011738893340868436,8.444444444444445,2.0,5/1,5.0
4683,0.0,0.011738893340868436,8.666666666666666,2.0,5/1,5.0
4684,0.0,0.011738893340868436,8.88888888888889,2.0,5/1,5.0
4685,0.0,0.011738893340868436,9.11111111111111,2.0,5/1,5.0
4686,0.0,0.011738893340868436,9.333333333333334,2.0,5/1,5.0
4687,0.0,0.011738893340868436,9.555555555555555,2.0,5/1,5.0
4688,0.0,0.011738893340868436,9.777777777777779,2.0,5/1,5.0
4689,0.0,0.011738893340868436,10.0,2.0,5/1,5.0
4690,0.0,0.011761126093407959,8.0,2.0,5/1,5.0
4691,0.0,0.011761126093407959,8.222222222222221,2.0,5/1,5.0
4692,0.0,0.011761126093407959,8.444444444444445,2.0,5/1,5.0
4693,0.0,0.011761126093407959,8.666666666666666,2.0,5/1,5.0
4694,0.0,0.011761126093407959,8.88888888888889,2.0,5/1,5.0
4695,0.0,0.011761126093407959,9.11111111111111,2.0,5/1,5.0
4696,0.0,0.011761126093407959,9.333333333333334,2.0,5/1,5.0
4697,0.0,0.011761126093407959,9.555555555555555,2.0,5/1,5.0
4698,0.0,0.011761126093407959,9.777777777777779,2.0,5/1,5.0
4699,0.0,0.011761126093407959,10.0,2.0,5/1,5.0
4700,0.0,0.011783358845947485,8.0,2.0,5/1,5.0
4701,0.0,0.011783358845947485,8.222222222222221,2.0,5/1,5.0
4702,0.0,0.011783358845947485,8.444444444444445,2.0,5/1,5.0
4703,0.0,0.011783358845947485,8.666666666666666,2.0,5/1,5.0
4704,0.0,0.011783358845947485,8.88888888888889,2.0,5/1,5.0
4705,0.0,0.011783358845947485,9.11111111111111,2.0,5/1,5.0
4706,0.0,0.011783358845947485,9.333333333333334,2.0,5/1,5.0
4707,0.0,0.011783358845947485,9.555555555555555,2.0,5/1,5.0
4708,0.0,0.011783358845947485,9.777777777777779,2.0,5/1,5.0
4709,0.0,0.011783358845947485,10.0,2.0,5/1,5.0
4710,0.0,0.011805591598487007,8.0,2.0,5/1,5.0
4711,0.0,0.011805591598487007,8.222222222222221,2.0,5/1,5.0
4712,0.0,0.011805591598487007,8.444444444444445,2.0,5/1,5.0
4713,0.0,0.011805591598487007,8.666666666666666,2.0,5/1,5.0
4714,0.0,0.011805591598487007,8.88888888888889,2.0,5/1,5.0
4715,0.0,0.011805591598487007,9.11111111111111,2.0,5/1,5.0
4716,0.0,0.011805591598487007,9.333333333333334,2.0,5/1,5.0
4717,0.0,0.011805591598487007,9.555555555555555,2.0,5/1,5.0
4718,0.0,0.011805591598487007,9.777777777777779,2.0,5/1,5.0
4719,0.0,0.011805591598487007,10.0,2.0,5/1,5.0
4720,0.0,0.01182782435102653,8.0,2.0,5/1,5.0
4721,0.0,0.01182782435102653,8.222222222222221,2.0,5/1,5.0
4722,0.0,0.01182782435102653,8.444444444444445,2.0,5/1,5.0
4723,0.0,0.01182782435102653,8.666666666666666,2.0,5/1,5.0
4724,0.0,0.01182782435102653,8.88888888888889,2.0,5/1,5.0
4725,0.0,0.01182782435102653,9.11111111111111,2.0,5/1,5.0
4726,0.0,0.01182782435102653,9.333333333333334,2.0,5/1,5.0
4727,0.0,0.01182782435102653,9.555555555555555,2.0,5/1,5.0
4728,0.0,0.01182782435102653,9.777777777777779,2.0,5/1,5.0
4729,0.0,0.01182782435102653,10.0,2.0,5/1,5.0
4730,0.0,0.011850057103566054,8.0,2.0,5/1,5.0
4731,0.0,0.011850057103566054,8.222222222222221,2.0,5/1,5.0
4732,0.0,0.011850057103566054,8.444444444444445,2.0,5/1,5.0
4733,0.0,0.011850057103566054,8.666666666666666,2.0,5/1,5.0
4734,0.0,0.011850057103566054,8.88888888888889,2.0,5/1,5.0
4735,0.0,0.011850057103566054,9.11111111111111,2.0,5/1,5.0
4736,0.0,0.011850057103566054,9.333333333333334,2.0,5/1,5.0
4737,0.0,0.011850057103566054,9.555555555555555,2.0,5/1,5.0
4738,0.0,0.011850057103566054,9.777777777777779,2.0,5/1,5.0
4739,0.0,0.011850057103566054,10.0,2.0,5/1,5.0
4740,0.0,0.011872289856105576,8.0,2.0,5/1,5.0
4741,0.0,0.011872289856105576,8.222222222222221,2.0,5/1,5.0
4742,0.0,0.011872289856105576,8.444444444444445,2.0,5/1,5.0
4743,0.0,0.011872289856105576,8.666666666666666,2.0,5/1,5.0
4744,0.0,0.011872289856105576,8.88888888888889,2.0,5/1,5.0
4745,0.0,0.011872289856105576,9.11111111111111,2.0,5/1,5.0
4746,0.0,0.011872289856105576,9.333333333333334,2.0,5/1,5.0
4747,0.0,0.011872289856105576,9.555555555555555,2.0,5/1,5.0
4748,0.0,0.011872289856105576,9.777777777777779,2.0,5/1,5.0
4749,0.0,0.011872289856105576,10.0,2.0,5/1,5.0
4750,0.0,0.011894522608645102,8.0,2.0,5/1,5.0
4751,0.0,0.011894522608645102,8.222222222222221,2.0,5/1,5.0
4752,0.0,0.011894522608645102,8.444444444444445,2.0,5/1,5.0
4753,0.0,0.011894522608645102,8.666666666666666,2.0,5/1,5.0
4754,0.0,0.011894522608645102,8.88888888888889,2.0,5/1,5.0
4755,0.0,0.011894522608645102,9.11111111111111,2.0,5/1,5.0
4756,0.0,0.011894522608645102,9.333333333333334,2.0,5/1,5.0
4757,0.0,0.011894522608645102,9.555555555555555,2.0,5/1,5.0
4758,0.0,0.011894522608645102,9.777777777777779,2.0,5/1,5.0
4759,0.0,0.011894522608645102,10.0,2.0,5/1,5.0
4760,0.0,0.011916755361184625,8.0,2.0,5/1,5.0
4761,0.0,0.011916755361184625,8.222222222222221,2.0,5/1,5.0
4762,0.0,0.011916755361184625,8.444444444444445,2.0,5/1,5.0
4763,0.0,0.011916755361184625,8.666666666666666,2.0,5/1,5.0
4764,0.0,0.011916755361184625,8.88888888888889,2.0,5/1,5.0
4765,0.0,0.011916755361184625,9.11111111111111,2.0,5/1,5.0
4766,0.0,0.011916755361184625,9.333333333333334,2.0,5/1,5.0
4767,0.0,0.011916755361184625,9.555555555555555,2.0,5/1,5.0
4768,0.0,0.011916755361184625,9.777777777777779,2.0,5/1,5.0
4769,0.0,0.011916755361184625,10.0,2.0,5/1,5.0
4770,0.0,0.011938988113724147,8.0,2.0,5/1,5.0
4771,0.0,0.011938988113724147,8.222222222222221,2.0,5/1,5.0
4772,0.0,0.011938988113724147,8.444444444444445,2.0,5/1,5.0
4773,0.0,0.011938988113724147,8.666666666666666,2.0,5/1,5.0
4774,0.0,0.011938988113724147,8.88888888888889,2.0,5/1,5.0
4775,0.0,0.011938988113724147,9.11111111111111,2.0,5/1,5.0
4776,0.0,0.011938988113724147,9.333333333333334,2.0,5/1,5.0
4777,0.0,0.011938988113724147,9.555555555555555,2.0,5/1,5.0
4778,0.0,0.011938988113724147,9.777777777777779,2.0,5/1,5.0
4779,0.0,0.011938988113724147,10.0,2.0,5/1,5.0
4780,0.0,0.011961220866263673,8.0,2.0,5/1,5.0
4781,0.0,0.011961220866263673,8.222222222222221,2.0,5/1,5.0
4782,0.0,0.011961220866263673,8.444444444444445,2.0,5/1,5.0
4783,0.0,0.011961220866263673,8.666666666666666,2.0,5/1,5.0
4784,0.0,0.011961220866263673,8.88888888888889,2.0,5/1,5.0
4785,0.0,0.011961220866263673,9.11111111111111,2.0,5/1,5.0
4786,0.0,0.011961220866263673,9.333333333333334,2.0,5/1,5.0
4787,0.0,0.011961220866263673,9.555555555555555,2.0,5/1,5.0
4788,0.0,0.011961220866263673,9.777777777777779,2.0,5/1,5.0
4789,0.0,0.011961220866263673,10.0,2.0,5/1,5.0
4790,0.0,0.011983453618803196,8.0,2.0,5/1,5.0
4791,0.0,0.011983453618803196,8.222222222222221,2.0,5/1,5.0
4792,0.0,0.011983453618803196,8.444444444444445,2.0,5/1,5.0
4793,0.0,0.011983453618803196,8.666666666666666,2.0,5/1,5.0
4794,0.0,0.011983453618803196,8.88888888888889,2.0,5/1,5.0
4795,0.0,0.011983453618803196,9.11111111111111,2.0,5/1,5.0
4796,0.0,0.011983453618803196,9.333333333333334,2.0,5/1,5.0
4797,0.0,0.011983453618803196,9.555555555555555,2.0,5/1,5.0
4798,0.0,0.011983453618803196,9.777777777777779,2.0,5/1,5.0
4799,0.0,0.011983453618803196,10.0,2.0,5/1,5.0
4800,0.0,0.012005686371342719,8.0,2.0,5/1,5.0
4801,0.0,0.012005686371342719,8.222222222222221,2.0,5/1,5.0
4802,0.0,0.012005686371342719,8.444444444444445,2.0,5/1,5.0
4803,0.0,0.012005686371342719,8.666666666666666,2.0,5/1,5.0
4804,0.0,0.012005686371342719,8.88888888888889,2.0,5/1,5.0
4805,0.0,0.012005686371342719,9.11111111111111,2.0,5/1,5.0
4806,0.0,0.012005686371342719,9.333333333333334,2.0,5/1,5.0
4807,0.0,0.012005686371342719,9.555555555555555,2.0,5/1,5.0
4808,0.0,0.012005686371342719,9.777777777777779,2.0,5/1,5.0
4809,0.0,0.012005686371342719,10.0,2.0,5/1,5.0
4810,0.0,0.012027919123882243,8.0,2.0,5/1,5.0
4811,0.0,0.012027919123882243,8.222222222222221,2.0,5/1,5.0
4812,0.0,0.012027919123882243,8.444444444444445,2.0,5/1,5.0
4813,0.0,0.012027919123882243,8.666666666666666,2.0,5/1,5.0
4814,0.0,0.012027919123882243,8.88888888888889,2.0,5/1,5.0
4815,0.0,0.012027919123882243,9.11111111111111,2.0,5/1,5.0
4816,0.0,0.012027919123882243,9.333333333333334,2.0,5/1,5.0
4817,0.0,0.012027919123882243,9.555555555555555,2.0,5/1,5.0
4818,0.0,0.012027919123882243,9.777777777777779,2.0,5/1,5.0
4819,0.0,0.012027919123882243,10.0,2.0,5/1,5.0
4820,0.0,0.012050151876421765,8.0,2.0,5/1,5.0
4821,0.0,0.012050151876421765,8.222222222222221,2.0,5/1,5.0
4822,0.0,0.012050151876421765,8.444444444444445,2.0,5/1,5.0
4823,0.0,0.012050151876421765,8.666666666666666,2.0,5/1,5.0
4824,0.0,0.012050151876421765,8.88888888888889,2.0,5/1,5.0
4825,0.0,0.012050151876421765,9.11111111111111,2.0,5/1,5.0
4826,0.0,0.012050151876421765,9.333333333333334,2.0,5/1,5.0
4827,0.0,0.012050151876421765,9.555555555555555,2.0,5/1,5.0
4828,0.0,0.012050151876421765,9.777777777777779,2.0,5/1,5.0
4829,0.0,0.012050151876421765,10.0,2.0,5/1,5.0
4830,0.0,0.01207238462896129,8.0,2.0,5/1,5.0
4831,0.0,0.01207238462896129,8.222222222222221,2.0,5/1,5.0
4832,0.0,0.01207238462896129,8.444444444444445,2.0,5/1,5.0
4833,0.0,0.01207238462896129,8.666666666666666,2.0,5/1,5.0
4834,0.0,0.01207238462896129,8.88888888888889,2.0,5/1,5.0
4835,0.0,0.01207238462896129,9.11111111111111,2.0,5/1,5.0
4836,0.0,0.01207238462896129,9.333333333333334,2.0,5/1,5.0
4837,0.0,0.01207238462896129,9.555555555555555,2.0,5/1,5.0
4838,0.0,0.01207238462896129,9.777777777777779,2.0,5/1,5.0
4839,0.0,0.01207238462896129,10.0,2.0,5/1,5.0
4840,0.0,0.012094617381500814,8.0,2.0,5/1,5.0
4841,0.0,0.012094617381500814,8.222222222222221,2.0,5/1,5.0
4842,0.0,0.012094617381500814,8.444444444444445,2.0,5/1,5.0
4843,0.0,0.012094617381500814,8.666666666666666,2.0,5/1,5.0
4844,0.0,0.012094617381500814,8.88888888888889,2.0,5/1,5.0
4845,0.0,0.012094617381500814,9.11111111111111,2.0,5/1,5.0
4846,0.0,0.012094617381500814,9.333333333333334,2.0,5/1,5.0
4847,0.0,0.012094617381500814,9.555555555555555,2.0,5/1,5.0
4848,0.0,0.012094617381500814,9.777777777777779,2.0,5/1,5.0
4849,0.0,0.012094617381500814,10.0,2.0,5/1,5.0
4850,0.0,0.012116850134040336,8.0,2.0,5/1,5.0
4851,0.0,0.012116850134040336,8.222222222222221,2.0,5/1,5.0
4852,0.0,0.012116850134040336,8.444444444444445,2.0,5/1,5.0
4853,0.0,0.012116850134040336,8.666666666666666,2.0,5/1,5.0
4854,0.0,0.012116850134040336,8.88888888888889,2.0,5/1,5.0
4855,0.0,0.012116850134040336,9.11111111111111,2.0,5/1,5.0
4856,0.0,0.012116850134040336,9.333333333333334,2.0,5/1,5.0
4857,0.0,0.012116850134040336,9.555555555555555,2.0,5/1,5.0
4858,0.0,0.012116850134040336,9.777777777777779,2.0,5/1,5.0
4859,0.0,0.012116850134040336,10.0,2.0,5/1,5.0
4860,0.0,0.01213908288657986,8.0,2.0,5/1,5.0
4861,0.0,0.01213908288657986,8.222222222222221,2.0,5/1,5.0
4862,0.0,0.01213908288657986,8.444444444444445,2.0,5/1,5.0
4863,0.0,0.01213908288657986,8.666666666666666,2.0,5/1,5.0
4864,0.0,0.01213908288657986,8.88888888888889,2.0,5/1,5.0
4865,0.0,0.01213908288657986,9.11111111111111,2.0,5/1,5.0
4866,0.0,0.01213908288657986,9.333333333333334,2.0,5/1,5.0
4867,0.0,0.01213908288657986,9.555555555555555,2.0,5/1,5.0
4868,0.0,0.01213908288657986,9.777777777777779,2.0,5/1,5.0
4869,0.0,0.01213908288657986,10.0,2.0,5/1,5.0
4870,0.0,0.012161315639119385,8.0,2.0,5/1,5.0
4871,0.0,0.012161315639119385,8.222222222222221,2.0,5/1,5.0
4872,0.0,0.012161315639119385,8.444444444444445,2.0,5/1,5.0
4873,0.0,0.012161315639119385,8.666666666666666,2.0,5/1,5.0
4874,0.0,0.012161315639119385,8.88888888888889,2.0,5/1,5.0
4875,0.0,0.012161315639119385,9.11111111111111,2.0,5/1,5.0
4876,0.0,0.012161315639119385,9.333333333333334,2.0,5/1,5.0
4877,0.0,0.012161315639119385,9.555555555555555,2.0,5/1,5.0
4878,0.0,0.012161315639119385,9.777777777777779,2.0,5/1,5.0
4879,0.0,0.012161315639119385,10.0,2.0,5/1,5.0
4880,0.0,0.012183548391658907,8.0,2.0,5/1,5.0
4881,0.0,0.012183548391658907,8.222222222222221,2.0,5/1,5.0
4882,0.0,0.012183548391658907,8.444444444444445,2.0,5/1,5.0
4883,0.0,0.012183548391658907,8.666666666666666,2.0,5/1,5.0
4884,0.0,0.012183548391658907,8.88888888888889,2.0,5/1,5.0
4885,0.0,0.012183548391658907,9.11111111111111,2.0,5/1,5.0
4886,0.0,0.012183548391658907,9.333333333333334,2.0,5/1,5.0
4887,0.0,0.012183548391658907,9.555555555555555,2.0,5/1,5.0
4888,0.0,0.012183548391658907,9.777777777777779,2.0,5/1,5.0
4889,0.0,0.012183548391658907,10.0,2.0,5/1,5.0
4890,0.0,0.01220578114419843,8.0,2.0,5/1,5.0
4891,0.0,0.01220578114419843,8.222222222222221,2.0,5/1,5.0
4892,0.0,0.01220578114419843,8.444444444444445,2.0,5/1,5.0
4893,0.0,0.01220578114419843,8.666666666666666,2.0,5/1,5.0
4894,0.0,0.01220578114419843,8.88888888888889,2.0,5/1,5.0
4895,0.0,0.01220578114419843,9.11111111111111,2.0,5/1,5.0
4896,0.0,0.01220578114419843,9.333333333333334,2.0,5/1,5.0
4897,0.0,0.01220578114419843,9.555555555555555,2.0,5/1,5.0
4898,0.0,0.01220578114419843,9.777777777777779,2.0,5/1,5.0
4899,0.0,0.01220578114419843,10.0,2.0,5/1,5.0
4900,0.0,0.012228013896737954,8.0,2.0,5/1,5.0
4901,0.0,0.012228013896737954,8.222222222222221,2.0,5/1,5.0
4902,0.0,0.012228013896737954,8.444444444444445,2.0,5/1,5.0
4903,0.0,0.012228013896737954,8.666666666666666,2.0,5/1,5.0
4904,0.0,0.012228013896737954,8.88888888888889,2.0,5/1,5.0
4905,0.0,0.012228013896737954,9.11111111111111,2.0,5/1,5.0
4906,0.0,0.012228013896737954,9.333333333333334,2.0,5/1,5.0
4907,0.0,0.012228013896737954,9.555555555555555,2.0,5/1,5.0
4908,0.0,0.012228013896737954,9.777777777777779,2.0,5/1,5.0
4909,0.0,0.012228013896737954,10.0,2.0,5/1,5.0
4910,0.0,0.012250246649277478,8.0,2.0,5/1,5.0
4911,0.0,0.012250246649277478,8.222222222222221,2.0,5/1,5.0
4912,0.0,0.012250246649277478,8.444444444444445,2.0,5/1,5.0
4913,0.0,0.012250246649277478,8.666666666666666,2.0,5/1,5.0
4914,0.0,0.012250246649277478,8.88888888888889,2.0,5/1,5.0
4915,0.0,0.012250246649277478,9.11111111111111,2.0,5/1,5.0
4916,0.0,0.012250246649277478,9.333333333333334,2.0,5/1,5.0
4917,0.0,0.012250246649277478,9.555555555555555,2.0,5/1,5.0
4918,0.0,0.012250246649277478,9.777777777777779,2.0,5/1,5.0
4919,0.0,0.012250246649277478,10.0,2.0,5/1,5.0
4920,0.0,0.012272479401817001,8.0,2.0,5/1,5.0
4921,0.0,0.012272479401817001,8.222222222222221,2.0,5/1,5.0
4922,0.0,0.012272479401817001,8.444444444444445,2.0,5/1,5.0
4923,0.0,0.012272479401817001,8.666666666666666,2.0,5/1,5.0
4924,0.0,0.012272479401817001,8.88888888888889,2.0,5/1,5.0
4925,0.0,0.012272479401817001,9.11111111111111,2.0,5/1,5.0
4926,0.0,0.012272479401817001,9.333333333333334,2.0,5/1,5.0
4927,0.0,0.012272479401817001,9.555555555555555,2.0,5/1,5.0
4928,0.0,0.012272479401817001,9.777777777777779,2.0,5/1,5.0
4929,0.0,0.012272479401817001,10.0,2.0,5/1,5.0
4930,0.0,0.012294712154356525,8.0,2.0,5/1,5.0
4931,0.0,0.012294712154356525,8.222222222222221,2.0,5/1,5.0
4932,0.0,0.012294712154356525,8.444444444444445,2.0,5/1,5.0
4933,0.0,0.012294712154356525,8.666666666666666,2.0,5/1,5.0
4934,0.0,0.012294712154356525,8.88888888888889,2.0,5/1,5.0
4935,0.0,0.012294712154356525,9.11111111111111,2.0,5/1,5.0
4936,0.0,0.012294712154356525,9.333333333333334,2.0,5/1,5.0
4937,0.0,0.012294712154356525,9.555555555555555,2.0,5/1,5.0
4938,0.0,0.012294712154356525,9.777777777777779,2.0,5/1,5.0
4939,0.0,0.012294712154356525,10.0,2.0,5/1,5.0
4940,0.0,0.01231694490689605,8.0,2.0,5/1,5.0
4941,0.0,0.01231694490689605,8.222222222222221,2.0,5/1,5.0
4942,0.0,0.01231694490689605,8.444444444444445,2.0,5/1,5.0
4943,0.0,0.01231694490689605,8.666666666666666,2.0,5/1,5.0
4944,0.0,0.01231694490689605,8.88888888888889,2.0,5/1,5.0
4945,0.0,0.01231694490689605,9.11111111111111,2.0,5/1,5.0
4946,0.0,0.01231694490689605,9.333333333333334,2.0,5/1,5.0
4947,0.0,0.01231694490689605,9.555555555555555,2.0,5/1,5.0
4948,0.0,0.01231694490689605,9.777777777777779,2.0,5/1,5.0
4949,0.0,0.01231694490689605,10.0,2.0,5/1,5.0
4950,0.0,0.012339177659435574,8.0,2.0,5/1,5.0
4951,0.0,0.012339177659435574,8.222222222222221,2.0,5/1,5.0
4952,0.0,0.012339177659435574,8.444444444444445,2.0,5/1,5.0
4953,0.0,0.012339177659435574,8.666666666666666,2.0,5/1,5.0
4954,0.0,0.012339177659435574,8.88888888888889,2.0,5/1,5.0
4955,0.0,0.012339177659435574,9.11111111111111,2.0,5/1,5.0
4956,0.0,0.012339177659435574,9.333333333333334,2.0,5/1,5.0
4957,0.0,0.012339177659435574,9.555555555555555,2.0,5/1,5.0
4958,0.0,0.012339177659435574,9.777777777777779,2.0,5/1,5.0
4959,0.0,0.012339177659435574,10.0,2.0,5/1,5.0
4960,0.0,0.012361410411975096,8.0,2.0,5/1,5.0
4961,0.0,0.012361410411975096,8.222222222222221,2.0,5/1,5.0
4962,0.0,0.012361410411975096,8.444444444444445,2.0,5/1,5.0
4963,0.0,0.012361410411975096,8.666666666666666,2.0,5/1,5.0
4964,0.0,0.012361410411975096,8.88888888888889,2.0,5/1,5.0
4965,0.0,0.012361410411975096,9.11111111111111,2.0,5/1,5.0
4966,0.0,0.012361410411975096,9.333333333333334,2.0,5/1,5.0
4967,0.0,0.012361410411975096,9.555555555555555,2.0,5/1,5.0
4968,0.0,0.012361410411975096,9.777777777777779,2.0,5/1,5.0
4969,0.0,0.012361410411975096,10.0,2.0,5/1,5.0
4970,0.0,0.012383643164514619,8.0,2.0,5/1,5.0
4971,0.0,0.012383643164514619,8.222222222222221,2.0,5/1,5.0
4972,0.0,0.012383643164514619,8.444444444444445,2.0,5/1,5.0
4973,0.0,0.012383643164514619,8.666666666666666,2.0,5/1,5.0
4974,0.0,0.012383643164514619,8.88888888888889,2.0,5/1,5.0
4975,0.0,0.012383643164514619,9.11111111111111,2.0,5/1,5.0
4976,0.0,0.012383643164514619,9.333333333333334,2.0,5/1,5.0
4977,0.0,0.012383643164514619,9.555555555555555,2.0,5/1,5.0
4978,0.0,0.012383643164514619,9.777777777777779,2.0,5/1,5.0
4979,0.0,0.012383643164514619,10.0,2.0,5/1,5.0
4980,0.0,0.012405875917054141,8.0,2.0,5/1,5.0
4981,0.0,0.012405875917054141,8.222222222222221,2.0,5/1,5.0
4982,0.0,0.012405875917054141,8.444444444444445,2.0,5/1,5.0
4983,0.0,0.012405875917054141,8.666666666666666,2.0,5/1,5.0
4984,0.0,0.012405875917054141,8.88888888888889,2.0,5/1,5.0
